internalField   nonuniform List<vector> 
106488
(
(1.93066 -0.00023497 -0.000133529)
(1.93091 -0.000211197 -0.000118715)
(1.93113 -0.000190055 -0.000105468)
(1.93133 -0.000171358 -9.36027e-05)
(1.93151 -0.000154949 -8.29571e-05)
(1.93166 -0.000140682 -7.33865e-05)
(1.9318 -0.000128437 -6.47595e-05)
(1.93192 -0.000118113 -5.69601e-05)
(1.93203 -0.000109632 -4.98854e-05)
(1.93213 -0.000102937 -4.34397e-05)
(1.93222 -9.79862e-05 -3.75365e-05)
(1.93229 -9.47618e-05 -3.20977e-05)
(1.93236 -9.32627e-05 -2.70498e-05)
(1.93242 -9.35084e-05 -2.23237e-05)
(1.93247 -9.55367e-05 -1.78554e-05)
(1.93251 -9.94012e-05 -1.35836e-05)
(1.93255 -0.000105171 -9.44862e-06)
(1.93259 -0.000112933 -5.39392e-06)
(1.93262 -0.000122793 -1.36785e-06)
(1.93264 -0.000134875 2.67358e-06)
(1.93266 -0.00014932 6.75975e-06)
(1.93268 -0.000166293 1.08885e-05)
(1.93269 -0.000185987 1.49958e-05)
(1.93271 -0.000208625 1.88994e-05)
(1.93272 -0.000234461 2.21981e-05)
(1.93274 -0.000263774 2.40868e-05)
(1.93276 -0.000296842 2.30238e-05)
(1.9328 -0.000333876 1.61464e-05)
(1.93286 -0.000375351 -1.72542e-06)
(1.93296 -0.000425652 -4.2837e-05)
(1.93318 -0.000490096 -0.000145217)
(1.93374 -0.000558758 -0.000415414)
(1.93494 -0.000638971 -0.00111324)
(1.93647 -0.00101062 -0.00300138)
(1.96576 0.00124222 -0.0125466)
(1.92767 0.000745584 -0.0349368)
(1.76019 -0.00950737 -0.0369221)
(1.87899 -0.010006 -0.0201074)
(1.90599 -0.00679937 -0.0138315)
(1.92846 -0.0050352 -0.00992011)
(1.94591 -0.00385404 -0.00729849)
(1.95855 -0.00301264 -0.00559253)
(1.96814 -0.00244028 -0.00442628)
